,no.,time,source,destination,protocol,length,tcp_retransmission,SYN,ACK,Seq,Win,Len,MSS
0,1,0 days 00:00:00.000000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
1,2,0 days 00:02:12.969600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
2,3,0 days 00:02:17.980800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
3,4,0 days 00:02:22.560000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
4,5,0 days 00:02:27.139200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
5,6,0 days 00:02:31.632000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
6,7,0 days 00:02:36.124800000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
7,8,0 days 00:02:40.790400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
8,9,0 days 00:02:45.283200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
9,10,0 days 00:02:49.776000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
10,11,0 days 01:31:52.060800000,64.13.134.52,172.16.0.8,TCP,60,False,True,True,0  ,5840,0 ,1380
11,12,0 days 01:33:59.414400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
12,13,0 days 01:34:05.462400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
13,14,0 days 03:02:38.284800000,64.13.134.52,172.16.0.8,TCP,60,False,False,True,1  ,0 Le,0,  > 
14,15,0 days 03:05:45.600000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
15,16,0 days 03:05:52.080000000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
16,17,0 days 04:33:33.840000000,64.13.134.52,172.16.0.8,TCP,60,False,True,True,0  ,5840,0 ,1380
17,18,0 days 04:35:47.155200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
18,19,0 days 04:35:53.289600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
19,20,1 days 04:52:08.659200000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
20,21,1 days 04:52:16.953599999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
21,22,1 days 04:52:22.742400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
22,23,1 days 04:52:28.790400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
23,24,1 days 04:52:34.406400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
24,25,1 days 04:52:40.022400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
25,26,1 days 04:52:46.502400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,2048,0 ,1460
26,27,1 days 04:52:52.118400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
27,28,1 days 04:52:57.734399999,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,4096,0 ,1460
28,29,1 days 04:53:03.609600000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,3072,0 ,1460
29,30,1 days 04:53:09.398400000,172.16.0.8,64.13.134.52,TCP,58,False,True,False,0 ,1024,0 ,1460
